Building [0]	Sensor ID [1]	Title [2]	Unit Label [3]	Sensor Group [4]	Sort Order [5]	Is Calc'd Field [6]	Calc or Transform Function [7]	Function Parameters [8]
Haines Senior Center	HainesSrCtr_boiler_1	Boiler Supply Temperature	deg F	Pellet Boiler	10			
Haines Senior Center	HainesSrCtr_P241	Boiler Status, P241	code	Pellet Boiler	20			
Haines Senior Center	HainesSrCtr_P107	Flue/Flame Temperature, P107	deg F	Pellet Boiler	30			
Haines Senior Center	HainesSrCtr_P109	Chip Temperature, P109	deg F	Pellet Boiler	40			
Haines Senior Center	HainesSrCtr_P112	Burner Startups, P112	count	Pellet Boiler	50			
Haines Senior Center	HainesSrCtr_P115	Boiler Off Time, P115	minutes	Pellet Boiler	60			
Haines Senior Center	HainesSrCtr_P116	Auger Pulse, P116	seconds	Pellet Boiler	70			
Haines Senior Center	HainesSrCtr_P117	Auger Pulse Off, P117	seconds	Pellet Boiler	80			
Haines Senior Center	HainesSrCtr_P124	Flame Temperature Setpoint, P124	deg F	Pellet Boiler	90			
Haines Senior Center	HainesSrCtr_P184	Speed AV, P184	u / minute	Pellet Boiler	100			
Haines Senior Center	HainesSrCtr_P185	A. Pulse / Vac On, P185	units	Pellet Boiler	110			
